#separator:tab
#html:true
#tags column:8
Spanish	English	Swedish	Tag	Example ES	Example EN	Comment	Tag
La remesa	The shipment / remittance ✓	Den remissen	Noun	La remesa llegó a tiempo.	The shipment arrived on time.	In finance, la remesa often refers to money sent by someone to their home country, typically by migrants.	Noun
El truco	The trick, cheat, hack ✓	Tricket	Noun	El truco es muy ingenioso.	The trick is very clever.	El truco can refer to a clever strategy or technique in various contexts, including games and problem-solving.	Noun
El ágape	The banquet, the feast ✓	Den festma	Noun	El ágape fue un momento especial para todos los asistentes.	The banquet was a special moment for all the attendees.	A fun fact about El ágape is that it often refers to a communal meal in religious or social gatherings, emphasizing fellowship and sharing.	Noun
Opuesto a	Opposed to ✓	Motsatt till	Adjective	Ella está opuesta a esa idea.	She is opposed to that idea.	The phrase opuesto a is commonly used to express disagreement or contrast in opinions.	Adjective
La misma mierda	Same shit (whatever) ✓	Samma skit	Phrase	No importa lo que hagamos, siempre termina siendo la misma mierda.	No matter what we do, it always ends up being the same shit.	Fun fact: La misma mierda is often used to express frustration with recurring situations.	Phrase
Jamás	Never / ever ✓	Aldrig	Adverb	Jamás he visto una película tan emocionante.	I have never seen such an exciting movie.	Jamás is often used to emphasize a strong negation in Spanish.	Adverb
Jamás de los jamases	Never ever / never ever again ✓	Aldrig någonsin	Adverb	No volveré a hacerlo, jamás de los jamases.	I will never ever do it again.	Jamás de los jamases is often used for emphasizing a strong refusal or commitment not to repeat an action.	Adverb
Nunca jamás	Never again, never ever ✓	Aldrig mer	Adverb	Nunca jamás quiero volver a ese lugar.	I never want to go back to that place again.	Nunca jamás emphasizes a strong resolve, often conveying a deep emotional response.	Adverb
Por/para siempre jamás	For ever and ever / forever after ✓	För alltid	Conjunction/subjunction	Te amaré por siempre jamás.	I will love you forever and ever.	Por/para siempre jamás is often used in romantic contexts to emphasize eternal love.	Conjunction/subjunction
El patrón	The pattern	Mönstret ✓	Noun	El patrón es fácil de entender.	The pattern is easy to understand.	In some contexts, El patrón can refer to a boss or employer, highlighting its versatility in Spanish.	Noun
Desplazarse	To scroll ✓	Att scrolla	Verb	Es fácil desplazarse por la página.	It is easy to scroll through the page.	Fun fact: Desplazarse can also mean to move or travel, not just to scroll.	Verb
El guión	The (manu)script ✓	Manuskriptet	Noun	El guión es interesante.	The script is interesting.	El guión can refer to both a screenplay and a written outline in Spanish.	Noun
El chacho	The chunk/chub/portion ✓	Chunken	Noun	El chacho es muy grande.	The chunk is very big.	El chacho is often used in informal contexts in Spain to refer to a significant portion of food or material.	Noun
El bravucón	The bouncer ✓	Bouncern	Noun	El bravucón no deja entrar a nadie sin identificación.	The bouncer does not let anyone in without identification.	El bravucón is often used to describe someone who is tough or aggressive, especially in a protective role.	Noun
Lindo	Cute ✓	Söt	Adjective	El perro es lindo.	The dog is cute.	In many Latin American countries, lindo is frequently used to describe not just physical beauty but also personality charm.	Adjective
El carrusel	The carousel ✓	Karusellen	Noun	Los niños disfrutan del carrusel en la feria.	The children enjoy the carousel at the fair.	El carrusel is often a favorite attraction in amusement parks around the world.	Noun
La plancha	The plank/sheet ✓	Plankan	Noun	La plancha es de madera.	The plank is made of wood.	La plancha can refer to a surfboard or ironing board in different contexts.	Noun
La adicción	The addiction ✓	Beroendet	Noun	La adicción puede afectar la vida de una persona.	The addiction can affect a persons life.	La adicción is commonly used in discussions about substance abuse and behavioral issues in Spanish-speaking communities.	Noun
La cafeína	The caffeine ✓	Koffein	Noun	La cafeína me mantiene despierto por la noche.	The caffeine keeps me awake at night.	La cafeína is often found in coffee, tea, and energy drinks, making it a popular stimulant worldwide.	Noun
A menudo	Often ✓	Ofta	Adverb	A menudo voy al parque.	I often go to the park.	A menudo is commonly used in Spanish to express frequency and is often found in both spoken and written contexts.	Adverb
Como es	As is ✓	Som den är	Phrase	Tomo el martini de espresso, como es.	"I&#x27;ll have the espresso martini, as is."	Como es is often used to emphasize accepting something in its current state without changes.	Phrase
El cono	The cone ✓	Konen	Noun	El cono es un objeto tridimensional.	The cone is a three-dimensional object.	El cono is commonly used in mathematics and art to describe a smooth, curved shape.	Noun
Enseñar	To teach ✓	Att undervisa	Verb	Voy a enseñar matemáticas.	I am going to teach math.	Enseñar is commonly used in educational contexts and can refer to both formal and informal teaching.	Verb
Empujar	To push ✓	Att trycka	Verb	Voy a empujar la puerta.	I am going to push the door.	Empujar is commonly used in everyday situations, such as moving objects or encouraging someone to take action.	Verb
El jarrón	The vase ✓	Vasen	Noun	El jarrón es muy bonito.	The vase is very beautiful.	El jarrón is often used in artworks and literature to symbolize beauty and fragility.	Noun
El escaparate	The display window	Skyltfönstret ✓	Noun	El escaparate es muy colorido.	The display window is very colorful.	El escaparate is commonly used in retail to showcase products attractively.	Noun
Plazo de aviso	The notice period	Uppsängningstiden ✓	Noun	Es importante respetar el plazo de aviso.	It is important to respect the notice period.	Plazo de aviso is commonly used in employment contracts in Spanish-speaking countries.	Noun
En todos lados	Everywhere ✓	Överallt	Adverb	La música suena en todos lados.	The music plays everywhere.	En todos lados is commonly used to express the idea that something is present in many places or widely available.	Adverb
Aparentemente	Apparently (1) ✓	Tydligen	Adverb	Aparentemente, no vendrá a la fiesta.	Apparently, he will not come to the party.	Aparentemente is often used to express something that seems to be true based on available information, but may not necessarily be confirmed.	Adverb
Al parecer	Apparently (2) ✓	Tyvärr	Adverb	Al parecer, no viene a la fiesta.	Apparently, he is not coming to the party.	Al parecer is often used to indicate uncertainty or based on hearsay.	Adverb
Poner al corriente de	To get up to date on/catch up on ✓	Hålla informerad om	Phrase	Necesito poner al corriente de los últimos proyectos a mi jefe.	I need to get my boss up to date on the latest projects.	Poner al corriente de is often used in professional settings to ensure everyone has the same information.	Phrase
Siquiera	Even/not even ✓	Inte ens	Adverb	No tengo siquiera un euro.	I dont even have a euro.	Siquiera is often used to emphasize the absence of something in a negative context.	Adverb
La tapia	Wall/fence (out of stone/brick) ✓	Muren	Noun	La tapia es de piedra.	The wall is made of stone.	La tapia refers to a traditional type of wall often seen in rural Spain, symbolizing both property boundaries and cultural heritage.	Noun
El fusilado	The shot (not the beverage) ✓	Den skjutne	Noun	El fusilado fue recordado en la historia.	The shot was remembered in history.	El fusilado often refers to a victim of execution, highlighting the grave consequences of violence.	Noun
Rumorear	To be rumored that/to spread rumors ✓	Att rumorera	Verb	Se rumorea que vendrá una gran tormenta.	It is rumored that a big storm is coming.	Fun fact: Rumorear can be used in various contexts, from gossip to official announcements.	Verb
En pesar de (que)	In spite of ✓	Trots	Conjunction/subjunction	En pesar de que hacía frío, salimos a caminar.	In spite of it being cold, we went out for a walk.	The phrase en pesar de derives from Latin pati, meaning to suffer, highlighting the contrast between the difficulties faced and the action taken.	Conjunction/subjunction
Sea como fuere (toma nota del subjuntivo de futuro)	Whatever the case may be (note the future subjunctive)	Hur det än må vara / hur det än är med den saken ✓	Phrase	Sea como fuere, debemos seguir adelante con el proyecto.	Whatever the case may be, we must move forward with the project.	The phrase Sea como fuere is often used to indicate acceptance of a situation, regardless of uncertainties.	Phrase
Una ojeada	A look, a glance ✓	Blicken	Noun	Le di una ojeada a la película.	I took a glance at the movie.	Una ojeada is often used to describe a quick look at something without deep examination.	Noun
La cara, el rostro	The face, the face	Ansiktet ✓	Noun	La cara es hermosa.	The face is beautiful.	La cara, el rostro can both refer to the face, but el rostro is often used in more formal or literary contexts.	Noun
Ser una bala perdida	To be a loose cannon ✓	Att vara en lös kanon	Phrase	Juan es una bala perdida cuando se enoja.	Juan is a loose cannon when he gets angry.	The phrase Ser una bala perdida often describes someone unpredictable or reckless, particularly in situations where they might cause chaos.	Phrase
A propósito	Intentionally	Med mening ✓	Adjective	Dijo eso a propósito.	He said that intentionally.	The phrase a propósito is often used to indicate that an action was done with a specific intention or motive.	Adjective
Parpadear	To blink ✓	Att blinka	Verb	A veces parpadeo cuando tengo sueño.	Sometimes I blink when I am tired.	Parpadear is often used in both literal and figurative contexts in Spanish, such as expressing surprise.	Verb
La rompecabeza	The puzzle ✓	Pusslet	Noun	Me gusta resolver la rompecabeza.	I like to solve the puzzle.	La rompecabeza is often used in educational contexts to encourage critical thinking and problem-solving skills.	Noun
El hueso	The bone	Benet (som skelett) ✓	Noun	El hueso es muy fuerte.	The bone is very strong.	El hueso is often used in anatomy to refer to the structure that supports the body.	Noun
Aplastar	To crush	Krossa, mosa ✓	Verb	Voy a aplastar la lata.	I am going to crush the can.	Aplastar is commonly used to refer not only to physical crushing but also metaphorically, like overcoming challenges.	Verb
Atrapada	Trapped	Fast, fångat ✓	Adjective	La mariposa está atrapada en la red.	The butterfly is trapped in the net.	Atrapada can refer to being physically caught or to feeling emotionally stuck.	Adjective
Atrapar	To catch, trap ✓	Att fånga	Verb	Yo quiero atrapar la pelota.	I want to catch the ball.	Atrapar is commonly used in everyday language, especially in sports contexts.	Verb
La tensión en el ambiente era palpable.	The tension was palpable ✓	Spänningen var påtaglig	Phrase	La tensión en el ambiente era palpable.	The tension in the atmosphere was palpable.	The phrase is often used in dramatic contexts to describe situations that feel charged or intense.	Phrase
Cálido	Warm	Varm (t.ex vantar) ✓	Adjective	El clima es cálido en verano.	The weather is warm in summer.	Cálido can also describe a friendly or welcoming atmosphere in addition to temperature.	Adjective
La espalda	The back	Ryggen ✓	Noun	Me duele la espalda.	My back hurts.	La espalda is often used not only to refer to the physical back but also in idiomatic expressions, such as dar la espalda which means to turn ones back on someone.	Noun
La madera	The wood	The wood ✓	Noun	La madera es muy resistente.	The wood is very durable.	Fun fact: La madera is commonly used in craftsmanship and construction in Spanish-speaking countries.	Noun
La autocaravana	The motorhome	Husbilen ✓	Noun	La autocaravana es muy cómoda para viajar.	The motorhome is very comfortable for traveling.	La autocaravana is commonly used in Spain for recreational vehicles designed for camping and road trips.	Noun
Un chalé	House	Ett hus (ganska stort) med trädgård ✓	Noun	Un chalé tiene un jardín hermoso.	A house has a beautiful garden.	Un chalé is commonly used in Spain to refer to a large house with a garden, often in suburban areas.	Noun
Adosado	Connected / attached ✓	Ansluten	Adjective	El edificio adosado tiene un hermoso jardín.	The attached building has a beautiful garden.	In real estate, adosado typically refers to properties that share a wall with another unit, often seen in townhome developments.	Adjective
El adosado	The townhouse	Radhuset / radhusen ✓	Noun	El adosado está en una calle tranquila.	The townhouse is on a quiet street.	El adosado refers specifically to a type of terraced house commonly found in urban areas.	Noun
El dormitorio	The bedroom	Sovrummet ✓	Noun	El dormitorio es grande.	The bedroom is big.	In Spanish, El dormitorio commonly refers to a bedroom but can also mean a sleeping room or an area designated for rest.	Noun
El salón	The living room	Vardagsrummet ✓	Noun	El salón es muy cómodo.	The living room is very comfortable.	El salón is often used to refer to the main sitting area in Spanish homes, emphasizing relaxation and family gatherings.	Noun
El garaje	The garage	Garaget ✓	Noun	El garaje está lleno de herramientas.	The garage is full of tools.	El garaje is commonly used in Spain to refer to both a garage for cars and a storage space.	Noun
El pasillo	The hallway	Hallen / korridoren ✓	Noun	El pasillo está muy largo.	The hallway is very long.	El pasillo is often used to describe corridors in both homes and public buildings in Spanish-speaking countries.	Noun
El tendedero	The clothesline	Tvättlinan ✓	Noun	El tendedero está lleno de ropa.	The clothesline is full of clothes.	El tendedero is commonly used in Spanish-speaking households for drying laundry outdoors.	Noun
Arder	Burn	Att brinna ✓	Verb	El fuego empieza a arder.	The fire begins to burn.	Arder is often used in both literal and metaphorical contexts in Spanish, such as expressing passion or desire.	Verb
La pinza	The clothes peg	Klädnypan ✓	Noun	La pinza es útil para colgar la ropa.	The clothes peg is useful for hanging laundry.	A fun fact is that la pinza is commonly used in households for drying clothes in many Spanish-speaking countries.	Noun
El felpudo	The doormat	Dörrmattan ✓	Noun	El felpudo está en la entrada de la casa.	The doormat is at the entrance of the house.	In Spain, its common to have decorative felpudos that welcome guests with fun phrases.	Noun
La escoba, el cepillo	The broom, the brush	Borsten, kvasten ✓	Noun	La escoba y el capillo son útiles para limpiar.	The broom and the brush are useful for cleaning.	Fun fact: La escoba, el capillo refers to traditional cleaning tools often used in Spanish homes.	Noun
La calefacción, el radiador	The heating, the radiator	Elementet ✓	Noun	La calefacción está funcionando y el radiador está caliente.	The heating is working and the radiator is hot.	La calefacción, el radiador are essential in keeping homes warm during the cold months.	Noun
El armario	The wardrobe	Garderob ✓	Noun	El armario está lleno de ropa.	The wardrobe is full of clothes.	El armario is commonly used in Spanish to refer not just to wardrobes but also to general storage cabinets.	Noun
La almohada	The pillow	Kudden ✓	Noun	La almohada es muy cómoda.	The pillow is very comfortable.	Fun fact: La almohada is often used in phrases about getting a good nights sleep.	Noun
Consultar(lo) con la almohada	Consult it with the pillow	Sova på saken ✓	Noun	Tengo una decisión importante que tomar, así que voy a consultar con la almohada.	I have an important decision to make, so I will consult it with the pillow.	The expression consultar con la almohada implies taking time to think about something overnight before making a decision.	Noun
La percha	The hanger	Stången man har galgar på ✓	Noun	La percha está rota.	The hanger is broken.	La percha is commonly used in homes and stores for organizing clothes.	Noun
La estantería 	The shelf	Hyllan, bokhyllan ✓	Noun	La estantería está llena de libros.	The shelf is full of books.	La estantería is commonly used in Spanish to refer to a bookshelf in homes and libraries.	Noun
El sofá	The sofa	Soffan ✓	Noun	El sofá es muy cómodo.	The sofa is very comfortable.	In many Spanish-speaking cultures, el sofá is a central piece of furniture where families gather and socialize.	Noun
El sillón	The armchair	Fåtöljen ✓	Noun	El sillón es muy cómodo.	The armchair is very comfortable.	El sillón is a common term in Spanish-speaking countries for a comfortable armchair often used in living rooms.	Noun
La chimenea	The chimney	Eldstaden ✓	Noun	La chimenea está humeando.	The chimney is smoking.	Fun fact: La chimenea is often associated with warmth and gathering places in homes.	Noun
El cojín	The cushion	Soffkudden ✓	Noun	El cojín es muy cómodo.	The cushion is very comfortable.	El cojín is often used in Spanish to refer not only to cushions but also to bolster comfort in home decor.	Noun
La persiana	The roller blind	Persienen ✓	Noun	La persiana está subida.	The roller blind is up.	La persiana is commonly used in Spanish homes to refer to the window covering that blocks light.	Noun
El sofá-cama	The sofa bed	Bäddsoffan ✓	Noun	El sofá-cama es muy cómodo.	The sofa bed is very comfortable.	Fun fact: El sofá-cama is often used in small apartments to save space.	Noun
La cortina	The curtain	Gardinen ✓	Noun	La cortina es de color azul.	The curtain is blue.	La cortina is commonly used in Spanish to refer to both fabric curtains and drapes in homes.	Noun
El extractor	The extractor	Fläkten (över spisen) ✓	Noun	El extractor está encendido.	The extractor is on.	El extractor is commonly used in kitchens to refer to the range hood that removes smoke and odors.	Noun
El tostador	The toaster	Brödrost ✓	Noun	El tostador está en la cocina.	The toaster is in the kitchen.	El tostador is commonly used in Spanish-speaking homes as an essential kitchen appliance for making toast.	Noun
La tabla de cortar	The cutting board	Skärbrädan ✓	Noun	La tabla de cortar es muy útil en la cocina.	The cutting board is very useful in the kitchen.	La tabla de cortar is essential for food preparation and helps prevent damage to countertops.	Noun
El jabón	The soap	Tvålen ✓	Noun	El jabón es importante para la higiene.	The soap is important for hygiene.	El jabón has been used since ancient times for cleaning and personal care.	Noun
El rollo de papel higiénico	The roll of toilet paper	Toalettpappret ✓	Noun	El rollo de papel higiénico está en el baño.	The roll of toilet paper is in the bathroom.	Fun fact: El rollo de papel higiénico is essential in most households for personal hygiene.	Noun
La olla	The pot	Kastrullen ✓	Noun	La olla está en la mesa.	The pot is on the table.	La olla is commonly used in cooking, referring to a pot used for boiling or simmering food.	Noun
El hervidor	The kettle	Vattenkokaren ✓	Noun	El hervidor calienta el agua rápidamente.	The kettle heats water quickly.	El hervidor is commonly used in Spanish-speaking countries for making tea or instant coffee.	Noun
El tobillo	The ankle	Fotleden ✓	Noun	El tobillo duele después de correr.	The ankle hurts after running.	El tobillo is commonly used in discussions about sports injuries and recovery.	Noun
Zarza, zarzamora	Blackberry	Björnbär ✓	Noun	Me gusta comer zarzamoras en el desayuno.	I like to eat blackberries for breakfast.	Zarza refers to the bramble bush, while zarzamora specifically means the blackberry fruit.	Noun
El valpurgis	The walpurgis	Valborg ✓	Noun	El valpurgis se celebra cada 30 de abril.	The Walpurgis is celebrated every April 30th.	El valpurgis marks the arrival of spring in many European traditions.	Noun
La parada (del autobus)	The bus stop	(buss) hållplatsen ✓	Noun	La parada del autobús está cerca de mi casa.	The bus stop is near my house.	La parada del autobús is commonly used in Spanish-speaking countries to refer to the designated location where buses pick up and drop off passengers.	Noun
Agacharse	To bend down	Böja sig ned ✓	Verb	Él tiene que agacharse para recoger la pelota.	He has to bend down to pick up the ball.	Agacharse is often used in everyday contexts, like picking something up or avoiding an obstacle.	Verb
No agaches la cabeza	Dont hang your head	Häng inte med huvudet ✓	Phrase	No agaches la cabeza en los momentos difíciles.	Dont hang your head in difficult times.	No agaches la cabeza is often used to encourage someone to stay strong and maintain their dignity.	Phrase
El cazador	The hunter	Jägaren ✓	Noun	El cazador va al bosque.	The hunter goes to the forest.	El cazador can refer to both a profession and a character in stories, often symbolizing adventure and survival.	Noun
La llama	The llama	Llaman / flamman ✓	Noun	La llama corre rápido.	The llama runs fast.	La llama is commonly associated with the Andes and is known for its strong pack-carrying abilities.	Noun
Una casa en llamas	A house in flames ✓	Ett hus i lågor	Phrase	Hoy vi una casa en llamas cerca del parque.	Today I saw a house in flames near the park.	The phrase Una casa en llamas is often used metaphorically to describe a situation of chaos or urgency.	Phrase
La moneda	The coin	Myntet ✓	Noun	La moneda brilla bajo la luz.	The coin shines under the light.	La moneda is often used in economic discussions to refer to currency.	Noun
El orgullo	The pride	Stolthet ✓	Noun	El orgullo es importante en la vida.	The pride is important in life.	El orgullo is often used to express both self-respect and group identity in Spanish-speaking cultures.	Noun
La entrevista	The interview	Intervjun ✓	Noun	La entrevista fue muy interesante.	The interview was very interesting.	Fun fact: La entrevista is commonly used in contexts involving media, job applications, and academic research.	Noun
El equipaje	The baggage	Baggaget ✓	Noun	El equipaje es muy pesado.	The baggage is very heavy.	El equipaje refers to luggage or bags used while traveling.	Noun
Despegar	Remove, take off / take off (plane) ✓	Att ta bort	Verb	Voy a despegar la etiqueta de la botella.	I am going to remove the label from the bottle.	Despegar can also mean to take off in aviation contexts, as in an airplane leaving the ground.	Verb
La despegue	The take off / the start ✓	Avfarten	Noun	La despegue es emocionante.	The take off is exciting.	La despegue is often used in aviation contexts to describe the moment an aircraft leaves the ground.	Noun
De ninguna manera	There is no chance ✓	Det finns ingen chans	Phrase	De ninguna manera iré a esa fiesta.	There is no chance I will go to that party.	De ninguna manera is often used for strong refusals or disagreements in Spanish conversations.	Phrase
La liebre	The hare	Haren ✓	Noun	La liebre corre rápidamente.	The hare runs quickly.	La liebre is often used in fables and can symbolize swiftness and agility.	Noun
La especia	The spice	Kryddan ✓	Noun	La especia da sabor a la comida.	The spice adds flavor to the food.	Fun fact: La especia is often used in cooking to enhance dishes.	Noun
El hoyo	The hole	Hålet, gropen / graven ✓	Noun	El hoyo está muy profundo.	The hole is very deep.	El hoyo is often used in literature and film to symbolize a difficult situation or predicament.	Noun
Cavar su propio hoyo, cavar la propia tumba (mer seriös)	Digging your own hole, digging your own grave (more serious)	Att gräva sin egen grav ✓	Phrase	Cuando tomas decisiones irresponsables, estás cavando tu propio hoyo.	When you make irresponsible decisions, you are digging your own hole.	This phrase is often used to describe situations where someones actions lead to their own downfall.	Phrase
El agujero	The hole	Öppning, spricka, hål ✓	Noun	El agujero es grande.	The hole is big.	El agujero can refer to various types of openings or gaps in both everyday and technical contexts.	Noun
El hoyo negro / el agujero negro	The black hole	Det svarta hålet ✓	Noun	El agujero negro es un misterio del universo.	The black hole is a mystery of the universe.	Fun fact: El hoyo negro / el agujero negro is commonly used in scientific contexts to discuss gravitational phenomena.	Noun
Cavar	To dig	Att gräva ✓	Verb	Yo quiero cavar un hoyo en el jardín.	I want to dig a hole in the garden.	Cavar is often used in agricultural contexts, referring to the act of digging in soil.	Verb
El rechazo	The return, the rejaction, the refusal ✓	Avvisning	Noun	El rechazo fue inesperado.	The rejection was unexpected.	El rechazo can refer to both emotional and formal contexts in Spanish.	Noun
El eje	The core/main idea/point (axis as well) ✓	Axeln	Noun	El eje de la conversación es la confianza.	The axis of the conversation is trust.	Fun fact: El eje can refer to a central theme in discussions or studies, emphasizing its importance.	Noun
La barrera	The barrier, obstacle ✓	Den barriären	Noun	La barrera es un obstáculo en la vida.	The barrier is an obstacle in life.	La barrera can refer to both physical and metaphorical obstacles.	Noun
Diseñar	To design	Att designa ✓	Verb	Voy a diseñar un nuevo logo.	I am going to design a new logo.	Diseñar is commonly used in various professional fields such as graphic design and architecture.	Verb
El trueno	The thunder	Åskan ✓	Noun	Me asusté cuando escuché el trueno.	I got scared when I heard the thunder.	El trueno refers specifically to the sound produced by lightning, commonly associated with storms.	Noun
El reto, el desafío	The challenge ✓	Utmaningen	Noun	El reto, el desafío es motivador.	The challenge is motivating.	El reto, el desafío can be used to signify any task that requires effort and determination.	Noun
Retar, desafiar (a alguien)	To challenge (someone) ✓	Att utmana (någon)	Verb	Voy a retar a mi hermano a una carrera.	I am going to challenge my brother to a race.	The verb retar is often used in competitive contexts, such as sports or games, to evoke a sense of rivalry.	Verb
Cagarse en los muertos de alguien	They can go f- themselves ✓	De kan gå åt helvete	Phrase	No me hables de esa manera, que me cago en tus muertos.	Dont talk to me that way, go f- yourself.	This phrase is a strong expression of anger and contempt in Spanish-speaking cultures.	Phrase
Súbito	Sudden, unexpected ✓	Plötslig	Adjective	La lluvia comenzó de manera súbita.	The rain started suddenly.	Súbito is often used to describe unexpected changes or events.	Adjective
Recuperar	Recover	Återta ✓	Verb	Voy a recuperar mi libro.	I am going to recover my book.	Recuperar can be used in contexts of recovering not just physical items but also health or lost time.	Verb
Disminuir	Reduce, decrease, cut/lower ✓	Minska	Verb	Es importante disminuir el consumo de plástico.	It is important to reduce plastic consumption.	Fun fact: Disminuir can be used in both physical and abstract contexts, such as decreasing noise or reducing expenses.	Verb
La disonancia	Dissonance	Dissonans ✓	Noun	La disonancia entre las notas crea un efecto extraño.	The dissonance between the notes creates a strange effect.	La disonancia is often used in music theory to describe a lack of harmony.	Noun
El recurso	The resource	Resursen / överklagan (juridik) ✓	Noun	El recurso fue aprobado por el tribunal.	The resource was approved by the court.	Fun fact: El recurso can refer to both legal appeals and general resources in Spanish contexts.	Noun
Implementar	To implement	Implementera / introducera ✓	Verb	Vamos a implementar un nuevo sistema.	We are going to implement a new system.	Implementar is often used in business contexts to describe the introduction of policies or systems.	Verb
Realista	Realist	Realistiskt ✓	Adjective	El enfoque de la película es muy realista.	The movies approach is very realistic.	Realista can describe not just art, but also perspectives in life.	Adjective
El/la realista	The realist / the royalist	Realist / royalist ✓	Noun	El realista observa la situación con atención.	The realist observes the situation carefully.	El/la realista can refer to both a person who adheres to realism in art or philosophy and a royalist in historical contexts.	Noun
¡Y colorín colorado, este cuento se ha acabado!	And the story is finished!	Och snipp snapp snut så var sagan slut ✓	Phrase	Después de muchas aventuras, ¡y colorín colorado, este cuento se ha acabado!	After many adventures, and the story is finished!	This phrase is commonly used at the end of childrens stories in Spanish-speaking cultures.	Phrase
El tamaño	Size	Storlek ✓	Noun	El medio tamaño	The medium size	Tamaño means size.	Noun
El jubilado, la jubilada (la pensionista)	The retiree (male), the retiree (female) (the pensioner)	Pensionären ✓	Noun	El jubilado disfruta de sus vacaciones.	The retiree is enjoying his vacation.	In Spain, terms like el jubilado and la jubilada are commonly used to refer to retirees, reflecting the importance of leisure in later life.	Noun
¡Jesús!	Jesus	Prosit! ✓	Interjection	“¡Jesús! ¡Qué sorpresa verte aquí!”	“Jesus! What a surprise to see you here!”	The phrase ¡jesús! is often exclaimed to express surprise or disbelief in Spanish-speaking cultures.	Interjection
La meta	The goal	Målet ✓	Noun	La meta es alcanzar el éxito.	The goal is to achieve success.	In Spanish, la meta often refers not only to an objective but also to a finish line in races.	Noun
Constituir	To constitute	Utgöra, utgöras av ✓	Verb	La familia constituye la base de la sociedad.	The family constitutes the foundation of society.	Fun fact: Constituir can also mean to form or to set up in various contexts.	Verb
Vamos bien	"We&#x27;re good ✓"	Vi mår bra	Phrase	Estamos trabajando en equipo y vamos bien	We are working together and were good	The phrase Vamos bien is often used to express progress or satisfaction in various situations.	Phrase
La cerveza de barril	The beer on tap/barrel ✓	Ölen på fat	Phrase	Me gusta pedir la cerveza de barril en el bar.	I like to order the beer on tap at the bar.	In many Spanish-speaking countries, ordering beer on tap is quite popular for its freshness.	Phrase
Te juro	I swear to you ✓	Jag svär till dig	Phrase	Te juro que siempre estaré contigo.	I swear to you that I will always be with you.	Te juro is often used to express sincerity and commitment in conversations.	Phrase
En corto	In short ✓	Kort sagt	Phrase	En corto, necesitamos concluir la reunión.	In short, we need to conclude the meeting.	En corto is commonly used in conversations to summarize or provide a brief overview.	Phrase
Fingir que	Pretend that ✓	Att låtsas att	Verb	Ella finge que está enferma.	She pretends that she is sick.	Fingir que is often used in everyday conversation when discussing stories or emotions.	Verb
Renunciar	To give up ✓	Att ge upp	Verb	Decidí renunciar a mi trabajo.	I decided to give up my job.	Renunciar is often used in a professional context, indicating leaving a position or job voluntarily.	Verb
Me das igual	"I don&#x27;t care about you ✓"	Jag bryr mig inte om dig	Phrase	No me importa lo que pienses, me das igual.	I dont care what you think, I dont care about you.	Me das igual is often used casually among friends but can come off as rude in formal settings.	Phrase
No puedo ni conmigo mismo	"I can&#x27;t even handle myself ✓"	Jag kan inte ens hantera mig själv	Phrase	A veces siento que no puedo ni conmigo mismo.	Sometimes I feel like I cant even handle myself.	No puedo ni conmigo mismo is often used to express overwhelming feelings of frustration or lack of control.	Phrase
El veneno	The poison ✓	Giftet	Noun	El veneno es peligroso.	The poison is dangerous.	El veneno is often used in literature to symbolize betrayal or danger.	Noun
Ya no soy yo	"I&#x27;m not myself anymore ✓"	Jag är inte mig själv längre	Phrase	Siento que ya no soy yo	I feel like Im not myself anymore	The phrase Ya no soy yo is often used to express feelings of loss or change in ones identity.	Phrase
Vago	Lazy ✓	Lat	Adjective	Es un día vago para quedarse en casa.	Its a lazy day to stay at home.	In Spanish, vago can describe not just laziness but also someone who avoids work or responsibility.	Adjective
Preferiblemente	Preferably ✓	Föredragsvis	Adverb	Prefiero comer frutas, preferiblemente frescas.	I prefer to eat fruits, preferably fresh.	Preferiblemente is often used to indicate a preference towards something more desirable or suitable.	Adverb
La avellana	The hazelnut ✓	Hasselnöt	Noun	La avellana es un fruto seco delicioso.	The hazelnut is a delicious nut.	La avellana is often used in desserts and pastries in Spanish-speaking cultures.	Noun
Desigual	Uneven ✓	Ojämn	Adjective	La superficie de la mesa es desigual.	The surface of the table is uneven.	Desigual is often used in math and architecture to describe irregular shapes or surfaces.	Adjective
El consuelo	The consultation ✓	Tröst	Noun	El consuelo es importante en tiempos difíciles.	The consolation is important in difficult times.	El consuelo often refers to comfort or solace in times of grief.	Noun
Atento	Attentive	Uppmärksam ✓	Adjective	El maestro siempre está atento a los estudiantes.	The teacher is always attentive to the students.	Atento is often used to describe someone who is observant or mindful in various contexts.	Adjective
Particular	Particular	Speciell, udda, ovanlig / privat ✓	Adjective	Tengo un interés particular en la música.	I have a particular interest in music.	The adjective particular can describe both something specific and something unusual depending on the context.	Adjective
Propiedad particular, propiedad privada	Private property, private ownership	Privat egendom ✓	Phrase	La propiedad particular, propiedad privada es fundamental en una economía de mercado.	Private property, private ownership is fundamental in a market economy.	In many countries, the concept of propiedad particular, propiedad privada is protected by law as essential for individual rights.	Phrase
Particularmente	Particularly	Särskilt, personligen ✓	Adverb	Me gusta el chocolate, particularmente el negro.	I like chocolate, particularly dark chocolate.	Particularmente is commonly used to emphasize a specific preference or detail.	Adverb
Incontables	Countless	Oräkneliga ✓	Adjective	Hay incontables estrellas en el cielo.	There are countless stars in the sky.	The word incontables is often used to emphasize a large, uncountable quantity, common in Spanish literature and poetry.	Adjective
